GOV_NC_DALTON_GREAT_SCHOOLS_REV	453cbkHQzec
GOV_NC_DALTON_IN_A_HOLE	ebc9B9_gENY
GOV_NC_DALTON_RUTHERFORDTON	J9oyoRcCe88
GOV_NC_DALTON_SIMPLE_NAME	XVay9RP_sqY
GOV_NC_MCCRORY_AS_MAYOR	
GOV_NC_MCCRORY_DRAIN	
GOV_NC_MCCRORY_FIX	
GOV_NC_MCCRORY_FORGET_ABOUT_POLITICS_60	
GOV_NC_MCCRORY_GOOD_MATH_BAD_DEAL	
GOV_NC_MCCRORY_I_WAS_A_MAYOR	
GOV_NC_MCCRORY_NATURAL_RESOURCES	
GOV_NC_MCCRORY_RAISED_IN_JAMESTOWN	
GOV_NC_MCCRORY_REWARD_GREAT_TEACHERS	SjptvQS0qow
GOV_NC_MCCRORY_SHERIFF	
GOV_NC_MCCRORY_STRUGGLING_IN_NC	
GOV_ND_DALRYMPLE_A_UNIQUE_TIME	vwQRywEQE54
GOV_ND_DALRYMPLE_FLOOD	
GOV_ND_DALRYMPLE_HELICOPTER_PILOT	FkJ6A7ze2bY
GOV_ND_DALRYMPLE_HELPED_OUR_SCHOOLS	Sazk4skZ8kE
GOV_ND_DALRYMPLE_HOUSING	BjO2quOH90I
GOV_ND_DALRYMPLE_JOBS_ARE_HERE	g_NPoELIBpI
GOV_ND_DALRYMPLE_UNIQUE_TIME	KwqNZ1k_b2k
GOV_ND_DALRYMPLE_UNIQUE_TIME_60	ygdreg9tXEU
GOV_ND_DALRYMPLE_WHAT_DOES_IT_TAKE	K7QJy97KP6I
GOV_ND_TAYLOR_CROSSROADS	1Bs0piQ4Rl0
GOV_ND_TAYLOR_GIVE_UP	troM4-wMAGo
GOV_ND_TAYLOR_THINGS_ARE_CHANGING	GLEIcTFCT2Q
GOV_UT_COOKE_CHECKS_AND_BALANCES	1wRm7OUqYyQ
GOV_UT_COOKE_HEADLINES	bvCNKY8eNfE
GOV_UT_COOKE_NOT_A_CAREER_POLITICIAN	ocJq4YPRHxs
GOV_UT_COOKE_RADIOACTIVE_WASTE	
GOV_UT_COOKE_SAVE_HILL	HxPNJOydHeQ
GOV_UT_COOKE_THIS_ELECTION_15	b5qf7uif1N8
GOV_UT_HERBERT_EDUCATION_TOP_PRIORITY	Hh8QeYYqFUQ
GOV_UT_HERBERT_EDUCATION_TOP_PRIORITY_60	21-GPu8lQrk
GOV_UT_HERBERT_EDUCATION_TOP_PRIORITY_REV	tPqI5W07ZLA
GOV_UT_HERBERT_ENERGY_INDEPENDENCE_60	xHbrbUY9_AA
GOV_UT_HERBERT_FREE_ENTERPRISE	zsuS-e8A6YU
GOV_UT_HERBERT_I_BELIEVE_IN_UTAH	
GOV_UT_HERBERT_PUT_UTAHNS_TO_WORK	5cfqt2OWi-w
GOV_VT_BROCK_CHARACTER	enObHYD_-SM
GOV_VT_BROCK_HIS_PARENTS	enObHYD_-SM
GOV_VT_BROCK_KIDS_LEAVE_VERMONT	P82NFab7QiU
GOV_VT_BROCK_SHUMLINS_VERMONT	O7tUZxugU_E
GOV_VT_BROCK_SHUMLIN_HEALTHCARE	8JA0_WfRBQU
GOV_VT_BROCK_THE_VERMONT_WAY	Auv1qwQd7gg
GOV_VT_SHUMLIN_AGREE	TxNsKsnYcWg
GOV_VT_SHUMLIN_GET_TOUGH_THINGS_DONE	WYI8I885Gls
GOV_WA_INSLEE_CLINTON	sahcoZyCifY
GOV_WA_INSLEE_CREATE_INVENT_BUILD	hCfNcpNnU90
GOV_WA_INSLEE_JOBS_PLAN	j8DUr_0STVo
GOV_WA_INSLEE_LIFE_STORY_60	
GOV_WA_INSLEE_MCKENNA_MR_OLYMPIA	
GOV_WA_INSLEE_MCKENNA_WOMENS_HEALTHCARE	8ZHtq7UFxAs
GOV_WA_INSLEE_NO_TIME_FOR_GIMMICKS	
GOV_WA_INSLEE_PLOUGH_MY_OWN_PATH	
GOV_WA_INSLEE_PROPERTY_TAX_SWAP	
GOV_WA_INSLEE_PROTECT_OUR_PENSIONS	jncJUnpdI8Y
GOV_WA_INSLEE_PROTECT_OUR_PENSIONS_REV	jncJUnpdI8Y
GOV_WA_INSLEE_SUPPORTING	mxBaNzVNQFc
GOV_WA_INSLEE_THREE_BOYS	
GOV_WA_INSLEE_TOTAL_WASHINGTONIAN	
GOV_WA_INSLEE_WHO_WILL_BRING_CHANGE	czd0d0UNHoY
GOV_WV_MALONEY_BRIGHTER_WEST_VIRGINIA	
GOV_WV_MALONEY_CAN_WE_TRUST_TOMBLIN	ryWp2mYcqTU
GOV_WV_MALONEY_DEE_JAY	
GOV_WV_MALONEY_DENOUNCE_IRELAND	
GOV_WV_MALONEY_FEWER_PEOPLE_WORKING	XV_mUbU3CwM
GOV_WV_MALONEY_HURTING_SENIORS	
GOV_WV_MALONEY_JOB_CREATOR	
GOV_WV_MALONEY_NEGATIVE_ADS	Gd5kEJF8yoU
GOV_WV_MALONEY_NEW_LOW	
GOV_WV_MALONEY_OBAMA_PROMISED	OH2EwTSiENY
GOV_WV_MALONEY_OUT_OF_TOUCH_TOMBLIN	lvQ9T70NMOk
GOV_WV_MALONEY_PITT	
GOV_WV_MALONEY_RELIABLE	
GOV_WV_MALONEY_RESUME	
GOV_WV_MALONEY_SELLOUTS	
GOV_WV_MALONEY_SHARON_MALONEY	snhqp_ef91U
GOV_WV_MALONEY_SMEAR_CAMPAIGN	
GOV_WV_MALONEY_TEAM	
GOV_WV_MALONEY_TOMBLINS_37_YEARS	n6ZLUZo77es
GOV_WV_MALONEY_TOMBLIN_INTERVIEW	
GOV_WV_MALONEY_TOMBLIN_TOOK_MONEY	
GOV_WV_MALONEY_TOMBLIN_USED_POWER	eoSP0Px-JlY
GOV_WV_OPPORTUNITYWV_MALONEY_OPPOSES_JOBS	
GOV_WV_OPPORTUNITYWV_MALONEY_SCHOOLS	
GOV_WV__OPPORTUNITYWV_MALONEY_MILLIONAIRE	
GOV_WV_TOMBLIN_ABOUT_WEST_VIRGINIA	D76J34e6ev4
GOV_WV_TOMBLIN_ASHAMED	
GOV_WV_TOMBLIN_COMPLETE_UNTRUTH	
GOV_WV_TOMBLIN_DEAD	
GOV_WV_TOMBLIN_ENDORSEMENTS	
GOV_WV_TOMBLIN_GIMMICKS	
GOV_WV_TOMBLIN_GREEDY	
GOV_WV_TOMBLIN_JOANNE	
GOV_WV_TOMBLIN_JUST_ACROSS_THE_TRACKS	-gResrcQw7A
GOV_WV_TOMBLIN_MALONEY_BAD_IDEAS	
GOV_WV_TOMBLIN_MALONEY_IS_A_NEW_YORKER	pFBbuG31rh0
GOV_WV_TOMBLIN_RIGHT_COURSE	
