"race","yt_district","candidate","length","uid","uid_ext"
"gov2012","MO","Nixon",31.113333,"N8BQ08SGGpo","MO_Nixon/N8BQ08SGGpo"
"gov2012","MO","Nixon",31.045078,"qVTdeVFOCiw","MO_Nixon/qVTdeVFOCiw"
"gov2012","MO","Nixon",31.045,"yXvTia31KJw","MO_Nixon/yXvTia31KJw"
"gov2012","MS","Bryant",30.045,"-1EIROfLt-4","MS_Bryant/-1EIROfLt-4"
"gov2012","MS","Bryant",29.998333,"aEBlUYHmjwU","MS_Bryant/aEBlUYHmjwU"
"gov2012","MS","Bryant",30.371667,"bXu7Y0uOMjY","MS_Bryant/bXu7Y0uOMjY"
"gov2012","MS","Bryant",30.265,"fobrxH2Kiss","MS_Bryant/fobrxH2Kiss"
"gov2012","MS","Bryant",30.265,"qO6WcTRK-Jw","MS_Bryant/qO6WcTRK-Jw"
"gov2012","MS","Bryant",29.998333,"swjlSOJDw44","MS_Bryant/swjlSOJDw44"
"gov2012","MS","Bryant",30.14,"sYn686L4Xgk","MS_Bryant/sYn686L4Xgk"
"gov2012","MS","Bryant",30.045,"UxA0g9tBq0Y","MS_Bryant/UxA0g9tBq0Y"
"gov2012","MS","Bryant",30.045,"v_3ZTnwZ40s","MS_Bryant/v_3ZTnwZ40s"
"gov2012","MS","Bryant",30.046611,"vFjBsKwX9xE","MS_Bryant/vFjBsKwX9xE"
"gov2012","MS","DuPree",57.416667,"-CLRrAtm0yU","MS_DuPree/-CLRrAtm0yU"
"gov2012","MS","DuPree",28.606667,"_OaKO8v7BtI","MS_DuPree/_OaKO8v7BtI"
"gov2012","MS","DuPree",16.856667,"2lkYWIk3KwI","MS_DuPree/2lkYWIk3KwI"
"gov2012","MS","DuPree",14.883333,"4Kbx2Jb7xAE","MS_DuPree/4Kbx2Jb7xAE"
"gov2012","MS","DuPree",16.84,"66toOO9Z6bM","MS_DuPree/66toOO9Z6bM"
"gov2012","MS","DuPree",13,"7xt_toAQrMw","MS_DuPree/7xt_toAQrMw"
"gov2012","MS","DuPree",30.416667,"ah1Mrxq6nko","MS_DuPree/ah1Mrxq6nko"
"gov2012","MS","DuPree",14.860767,"b0P0OfTP58E","MS_DuPree/b0P0OfTP58E"
"gov2012","MS","DuPree",33.041667,"CsCC_-qW958","MS_DuPree/CsCC_-qW958"
"gov2012","MS","DuPree",33.998333,"dbvDHqwb8b8","MS_DuPree/dbvDHqwb8b8"
"gov2012","MS","DuPree",13.52,"eblRLZsL6HY","MS_DuPree/eblRLZsL6HY"
"gov2012","MS","DuPree",14.371667,"f1ZOQEI0Zk8","MS_DuPree/f1ZOQEI0Zk8"
"gov2012","MS","DuPree",29.675,"HuQX58AWtAo","MS_DuPree/HuQX58AWtAo"
"gov2012","MS","DuPree",15.88,"i3WZVvGcP8M","MS_DuPree/i3WZVvGcP8M"
"gov2012","MS","DuPree",28.815,"IMWGn878rjE","MS_DuPree/IMWGn878rjE"
"gov2012","MS","DuPree",31.81,"IvgYWHb4Tag","MS_DuPree/IvgYWHb4Tag"
"gov2012","MS","DuPree",25.843333,"K-NXefqHR58","MS_DuPree/K-NXefqHR58"
"gov2012","MS","DuPree",17.416667,"KQwtSR1hFzs","MS_DuPree/KQwtSR1hFzs"
"gov2012","MS","DuPree",28.331667,"lOswy4NqOzg","MS_DuPree/lOswy4NqOzg"
"gov2012","MS","DuPree",30.623333,"m7G0W2W-XRk","MS_DuPree/m7G0W2W-XRk"
"gov2012","MS","DuPree",26.631667,"m9SzFb5Sq1A","MS_DuPree/m9SzFb5Sq1A"
"gov2012","MS","DuPree",30.991667,"nH-gTNJCU2I","MS_DuPree/nH-gTNJCU2I"
"gov2012","MS","DuPree",32.972333,"oFBiJ9GwP9I","MS_DuPree/oFBiJ9GwP9I"
"gov2012","MS","DuPree",62.166667,"rXBAIaOFdWg","MS_DuPree/rXBAIaOFdWg"
"gov2012","MS","DuPree",30.691667,"vZAIh-1FLnk","MS_DuPree/vZAIh-1FLnk"
